Model,MAE,RMSE,MAPE(%)
Baseline LSTM Seq2Seq,0.7335392377279041,0.9090171164045139,3.400254453855488
Seq2Seq + Attention,0.634886003860312,0.7751935453422082,2.9595423560130323
